,,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q43,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
Q13,以下問題是有關你在透過傳統媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。,-0.161693026,-0.152712163,-0.152285641,-0.025126119,-0.343566058,-0.064380187,0.101502819,-0.275011348,0.641540387,0.217580723,,0.115573,,1,-0.213621178,0.793523034,-0.136215107,0.704533916,0.39191988,-0.154552817,0.032915295,-0.075470743,-0.06925294,-0.330995236,0.168656767,0.056260198
Q14,"網絡媒體專頁是指由非傳統新聞機構營運的專頁，例子有立場新聞、輔仁網、香港獨立媒體網等。
請問你有沒有讚好／追蹤網絡媒體專頁？",0.126014531,0.057679081,-0.07477042,-0.057141239,0.107238762,-0.02793267,0.119915645,0.189122172,-0.282864102,-0.063931162,,-0.331266176,0.798935462,-0.213621178,1,,-0.227866358,-0.260289603,-0.018818064,0.119898608,0.042801929,0.013840913,0.066437914,0.115873765,-0.037980745,-0.051639778
Q15,以下問題是有關你在透過網絡媒體專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。,-0.115667098,0.042956185,-0.047170294,0.100730828,-0.2816441,-0.101667055,0.166063405,-0.32403615,0.756225796,0.359007763,,0.166576439,,0.793523034,,1,-0.100160106,0.530467104,0.344413081,-0.236605091,-0.14506957,0.021699142,0.029454801,-0.239682164,-0.033249781,-0.145963806
Q16,政府官方專頁是指由政府部門營運，用於發放及公布消息的專頁，例子有政府新聞網、衞生署衞生防護中心等）。請問你有沒有讚好／追蹤政府官方專頁？,-0.064308453,0.187373742,0.199786885,0.126686587,0.139211756,-0.017680322,0.133250281,0.088399139,0.065903926,-0.370668585,,0.261109618,-0.182050514,-0.136215107,-0.227866358,-0.100160106,1,,-0.102252394,-0.18213906,-0.258457671,0.157693925,-0.225708212,-0.018528935,-0.477310659,0.078446454
Q17,以下問題是有關你在透過政府官方專頁消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。,-0.612287274,-0.759495319,-0.295060997,-0.233677178,-0.562521212,0.316945947,0.053710963,-0.255030685,0.580041657,0.165638838,,0.219744751,-0.20161946,0.704533916,-0.260289603,0.530467104,,1,0.823659458,0.010275479,0.047734474,-0.210389581,-0.258057333,-0.206121885,-0.170978644,
Q18,以下問題是有關你在透過朋友/家人分享或轉載的消費新聞的頻率，請根據你平常的使用行為作答，每行只需選擇一個答案。,-0.146470732,-0.174140648,-0.040123677,-0.043123275,-0.089583413,-0.057213758,0.021022842,-0.051172537,0.467689734,0.249773905,,0.105517493,0.073437351,0.39191988,-0.018818064,0.344413081,-0.102252394,0.823659458,1,-0.050189685,-0.151951132,-0.28670546,0.024759857,0.088015317,0.205570636,0.078488359
Q19,你有多大程度相信由以下媒介發布的資訊？,0.133186071,-0.071500883,0.050169342,-0.027839249,-0.007761689,0.145168047,0.098389372,0.146390031,0.086394293,-0.123374367,0.195656955,-0.168892069,0.282662703,-0.154552817,0.119898608,-0.236605091,-0.18213906,0.010275479,-0.050189685,1,0.566124481,0.173815261,0.176200891,-0.041884902,0.197561416,-0.25600112
Q20,你有多大程度相信由以下專頁／對象發布的資訊？,0.257821179,-0.036405589,0.062814826,0.052107031,0.048325973,0.191340072,0.148227926,0.149072713,-0.148551687,-0.065019492,0.142598993,-0.229636875,0.266728636,0.032915295,0.042801929,-0.14506957,-0.258457671,0.047734474,-0.151951132,0.566124481,1,0.188470991,-0.0617542,0.059185042,0.271859384,0.017847128
Q21,性別,0.14043913,0.033625318,0.058138385,0.117432929,0.097652227,-0.123816122,0.088566486,0.14892753,0.051031036,0.017191549,0.015733968,-0.075912466,0.058054481,-0.075470743,0.013840913,0.021699142,0.157693925,-0.210389581,-0.28670546,0.173815261,0.188470991,1,-0.199714916,-0.113796432,-0.2890518,0.059123173
Q22,年齡,-0.361288177,-0.123272371,-0.113387253,-0.1118775,-0.206893891,-0.079197809,-0.134923664,-0.133707959,0.093247675,-0.14705942,0.058196656,-0.135279483,0.126908511,-0.06925294,0.066437914,0.029454801,-0.225708212,-0.258057333,0.024759857,0.176200891,-0.0617542,-0.199714916,1,0.08441779,0.396948832,-0.638973849
Q23,學院 / 學系,-0.034308344,-0.059108668,0.004115312,-0.087543987,0.059669971,0.012263594,0.041697288,0.061786365,0.016881199,0.062401449,0.080557269,0.080524764,0.064965376,-0.330995236,0.115873765,-0.239682164,-0.018528935,-0.206121885,0.088015317,-0.041884902,0.059185042,-0.113796432,0.08441779,1,0.030123904,0.075371905
Q24,修讀學年,0.012298665,-0.104280685,-0.108372985,-0.034869204,-0.081098457,0.12089509,-0.029732857,-0.165367981,0.116143842,0.099907943,0.106035391,-0.146643046,0.086894651,0.168656767,-0.037980745,-0.033249781,-0.477310659,-0.170978644,0.205570636,0.197561416,0.271859384,-0.2890518,0.396948832,0.030123904,1,-0.110208682
Q25,修讀學位,0.055528483,-0.224394327,-0.113872085,-0.1408164,0.062678849,0.078154569,-0.039123993,0.1158807,,-0.041704034,-0.092694126,0.118615907,-0.04125685,0.056260198,-0.051639778,-0.145963806,0.078446454,,0.078488359,-0.25600112,0.017847128,0.059123173,-0.638973849,0.075371905,-0.110208682,1
